"","vS1","vS2"
"19679","9606.ENSP00000321584","9606.ENSP00000263791"
"19680","9606.ENSP00000263791","9606.ENSP00000407375"
"19687","9606.ENSP00000321584","9606.ENSP00000263265"
"19688","9606.ENSP00000263265","9606.ENSP00000407375"
"19695","9606.ENSP00000321584","9606.ENSP00000262746"
"19696","9606.ENSP00000262746","9606.ENSP00000407375"
"19703","9606.ENSP00000321584","9606.ENSP00000262030"
"19704","9606.ENSP00000262030","9606.ENSP00000407375"
"19711","9606.ENSP00000321584","9606.ENSP00000262027"
"19712","9606.ENSP00000262027","9606.ENSP00000407375"
"19719","9606.ENSP00000321584","9606.ENSP00000261015"
"19720","9606.ENSP00000261015","9606.ENSP00000407375"
"19727","9606.ENSP00000321584","9606.ENSP00000257904"
"19728","9606.ENSP00000257904","9606.ENSP00000407375"
"19735","9606.ENSP00000321584","9606.ENSP00000256594"
"19736","9606.ENSP00000256594","9606.ENSP00000407375"
"19743","9606.ENSP00000321584","9606.ENSP00000256593"
"19744","9606.ENSP00000256593","9606.ENSP00000407375"
"19751","9606.ENSP00000321584","9606.ENSP00000256442"
"19752","9606.ENSP00000256442","9606.ENSP00000407375"
"19759","9606.ENSP00000321584","9606.ENSP00000256383"
"19760","9606.ENSP00000256383","9606.ENSP00000407375"
"19767","9606.ENSP00000321584","9606.ENSP00000256078"
"19768","9606.ENSP00000256078","9606.ENSP00000407375"
"19775","9606.ENSP00000321584","9606.ENSP00000255084"
"19776","9606.ENSP00000255084","9606.ENSP00000407375"
"19783","9606.ENSP00000321584","9606.ENSP00000254730"
"19784","9606.ENSP00000254730","9606.ENSP00000407375"
"19791","9606.ENSP00000321584","9606.ENSP00000254663"
"19792","9606.ENSP00000254663","9606.ENSP00000407375"
"19799","9606.ENSP00000321584","9606.ENSP00000254322"
"19800","9606.ENSP00000254322","9606.ENSP00000407375"
"19807","9606.ENSP00000321584","9606.ENSP00000253792"
"19808","9606.ENSP00000253792","9606.ENSP00000407375"
"19815","9606.ENSP00000321584","9606.ENSP00000253778"
"19816","9606.ENSP00000253778","9606.ENSP00000407375"
"19823","9606.ENSP00000321584","9606.ENSP00000251810"
"19824","9606.ENSP00000251810","9606.ENSP00000407375"
"19831","9606.ENSP00000321584","9606.ENSP00000251566"
"19832","9606.ENSP00000251566","9606.ENSP00000407375"
"19839","9606.ENSP00000321584","9606.ENSP00000245206"
"19840","9606.ENSP00000245206","9606.ENSP00000407375"
"19847","9606.ENSP00000321584","9606.ENSP00000241337"
"19848","9606.ENSP00000241337","9606.ENSP00000407375"
"19855","9606.ENSP00000321584","9606.ENSP00000234677"
"19856","9606.ENSP00000234677","9606.ENSP00000407375"
"19863","9606.ENSP00000321584","9606.ENSP00000234590"
"19864","9606.ENSP00000234590","9606.ENSP00000407375"
"19871","9606.ENSP00000321584","9606.ENSP00000234111"
"19872","9606.ENSP00000234111","9606.ENSP00000407375"
